000000	交易成功
ERR922	创建树节点失败
ERR923	数据库操作失败
ERR924	创建树失败
ERR925	组上主机的包失败
ERR926	调用hicall上主机失败
ERR927	取消息SSC头失败
ERR928	消息SSC头为失败(不为000000)
ERR929	取xml节点失败
ERR930	加xml节点失败
ERR931	组去第三方的数据包失败
ERR932	调用hicall去第三方失败
ERR933	取消息包头失败
ERR934	拷贝xml节点失败
ERR935	交易码不存在
ERR936	交易要素不全
ERR937	取节点出错
ERR938	增加时间出错
ERR939	指向根节点出错
ERR940	法律冻结帐户
ERR941	帐户止付
ERR942	帐户密码挂失
ERR943	帐户存折已正式挂失
ERR944	帐户存折已口头挂失
ERR945	删除sdbuserdata数据错误
ERR946	保存sdbuserdata数据错误
ERR947	转换失败
ERR948	多页返回失败
ERR949	非同一网点柜员不可授权
ERR950	柜员不可做自授权
ERR951	授权主管级别小于4级
ERR952	取交易码出错
ERR953	将消息变成树失败
ERR954	取树根出错
ERR955	增加柜台返回包头出错
ERR956	增加MSG头出错
ERR957	交易异常,请稍候查询交易结果
ERR999	前置服务发生错误
ERR020	无符合条件记录
ERR021	错误的功能码
ERR022	结算帐户必须是11对公账号
ERR058	保证金金额不能小于等于0
ERR023	结算账户已开户
ERR024	结算账户未开户
ERR025	主机返回错误码
ERR026	输入交易网代码错误
ERR027	输入上级监管账号错误
ERR028	开挂账、手续费、利息子账户失败
ERR029	取消止付标志和实时查询标志失败
ERR030	请求错误
ERR031	输入的子账户错误
ERR032	监管类服务联行号不能为空
ERR033	输入到出入金账户不存在或与子账号不匹配
ERR034	输入的出入金账号已存在
ERR035	输入的上级监管账号错误
ERR036	不能在网银维护监管类服务子账号
ERR037	只有监管类服务才允许开实体子账户
ERR038	仍有子账户余额不为0，不能销户
ERR039	该出入金账号已销户
ERR040	找不到修改密码的记录，检查输入的监管账号和会员代码是否正确
ERR041	该子账号不存在
ERR042	金额不能小于或等于0
ERR043	监管类服务不允许进行此交易
ERR044	可用余额不足
ERR045	转入和转出子账户必须同属一个交易网
ERR046	转账方式有误
ERR047	打开文件错误
ERR048	上传文件出错
ERR049	下载文件出错
ERR050	密码错误
ERR051	主监管账号已存在
ERR052	非开户网点不可操作
ERR053	项目编号错误
ERR054	监管账号可用余额与账面余额不符
ERR055	输入账号错误
ERR056	输入的交易网名称错误
ERR057	该网银客户号已被使用，不能同时开监管户和会员户
ERR058	保证金金额不能小于等于0
ERR059	发起渠道有误
ERR060	出金账号名称错误
ERR061	计算手续费出错
ERR062	交易网的IP和端口没配置
ERR064	资金池余额已达设定的警戒数,无法再做交易
ERR065	手续费子账号错误
ERR067	买卖扎差数小于调出金额
ERR068	此监管账号为主账号,仍有下级监管账号未销户
ERR069	查询类服务,不允许开虚监管账号
ERR070	查询类服务,不允许开虚监管账号
ERR071	获取前置流水号失败
ERR072	生成层次序列码失败
ERR073	获取支付系统的IP为空
ERR074	交易网返回失败描述
ERR075	不落地转账失败或其他错误
ERR076	支付系统返回交易异常,等待第二天对账结果
ERR077	此监管账号下仍有实子账户未销户
ERR078	银行前置与第三方系统通讯超时
ERR079	流化XML文件失败
ERR080	清算文件校验没通过
ERR081	该交易网不支持实子账户的电子盘清算
ERR082	清算头寸不足,停止清算
ERR083	银行台帐不平,对账失败
ERR084	上一次清算未完成,不允许再次触发清算
ERR085	币种错误
ERR086	输入的服务类型错误
ERR087	不能重复签到
ERR088	不能重复签退
ERR089	签到/签退日期不符
ERR090	非存管类服务不允许进行此交易
ERR091	交易网未签到
ERR093	交易网会员代码输入错误
ERR094	交易网未签退,请签退后再进行清算
ERR095	该会员当天有出入金或清算交易,不允许销户
ERR096	非全量清算,停止清算
ERR097	账号需为普通子账号或清收子账号
ERR098	出金申请当日未审核，已失效
ERR099	上一次对账正在进行，暂不允许发起对账
ERR100	ftp存取文件失败
ERR101	当日清算之后不允许再次签到
ERR102	清收头寸小于0，不允许签到
YQ9999	银企直连系统异常	
GW3002	通讯异常	
EBLN00	银企直连系统异常	
AFE004	通讯异常	
E00006	服务方响应错误	
E00007	创建连接异常	
E00008	通讯异常	
YQ9989	和银企直联系统通信异常	
YQ9976	后台通讯超时	
YQ9996	没有满足条件纪录	
YQ9993	请求参数数据不对	
YQ9990	企业本账户没有开通此交易	
YQ9988	银企直连系统未签约的付款账户	
YQ9987	非法的账户网点号	
YQ9986	企业没有开通银企直联	
YQ9985	企业签名的证书不对	
YQ9984	交易暂停	
YQ9983	签名验签失败,交易未签名	
YQ9982	收款方户名输入错误	
YQ9981	企业银企直联客户未激活,请联系银行处理	
YQ9980	企业银企直联客户已暂停,请联系银行处理	
YQ9979	付款账户错误,该交易为证券公司专用交易	
YQ9978	跨行转账上送同城异地标志不符:上送同城,收方账户异地	
YQ9977	XML报文体解析编码或格式异常	
YQ9975	跨行转账上送同城异地标志必须为(1,2)	
YQ9974	跨行转账上送同城异地标志不符:上送异地,收方账户同城	
YQ9972	目标文件不存在	
YQ9971	交易请求频率过高,请稍后再试	
YQ9970	付款账户位未通企业网银,不能进行制单操作	
YQ9969	批量笔数超限,请减少笔数重试	
YQ9968	企业网银客户不允许通过银企直连录入操作	
YQ9967	企业网银客户没有可用的录入权限的操作员	
YQ9966	批量笔数或金额与文件不符	
YQ9964	证书已经过期	
YQ9963	证书尚未生效	
YQ9962	批量流水号重复	
YQ0000	无法处理的请求,请核对交易码
